Player,Season,Age,Team,Shot_/90,Passes_completed,Passes_attempted,Passes_completition%,Crosses_into18yard_box,TotProgressive_passes,Attempted_long_passes,PrgDist_Carries,Carries_10yards_forward,Carries_into18yard_box,Miscontrols,Dispossesd,Goal_creating_actions,Shot_creating_actions,Aerials_Won%,Yellow_cards,Fouls_committed,Fouls_drawn,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Succ_Takes_on%,Touches_Def__3rd,Touches_Mid__3rd,Touches_Att__3rd,Role,Tier_league
Jérémy Gélin,2018-2019,21,Rennes,0.12,28.6,48.7,56,0.3,1029.4,8,96.7,0.4,0,0.4,0.1,0.1,1.3,37.1,0.2,1.2,0.6,1.1,1.3,1.1,1,0.4,0.6,1.3,3.5,2,1.3,1.3,0,0.5,0,85.7,21.1,40.4,3,CB,0
Jérémy Gélin,2019-2020,22,Rennes,0.15,0,46.9,53.4,0.1,1008.6,7.8,72.2,0,0.1,0.1,0,0,0.6,54.1,0.1,0.7,0.9,0.5,0.8,0.5,1.4,0.7,0.7,1.5,2.8,3.2,1.4,1.4,0,0.1,0.1,0,32,28.5,2,CB,0
Júnior Alonso,2017-2018,24,Lille,0.5,49.3,61,80.8,0.1,436.3,12.4,130.5,0.6,0.1,0.5,0.4,0.1,0.9,67.9,0.1,1.1,0.3,1,0.9,0.7,0.8,0.5,0.3,1.8,3.7,5,2.7,0.1,0.6,0.2,0.2,83.3,35.9,34.1,2.5,CB,0
Jason Denayer,2018-2019,23,Lyon,0.5,60.4,64.5,93.6,0,408.2,4.3,193.7,1.2,0.1,0.3,0.2,0,0.5,54.5,0.1,0.4,0.3,0.7,0.5,0.3,1.2,1,0.1,0.8,1.9,4,2,0,0.1,0.1,0.1,61.1,29.7,41.9,1.8,CB,0
Jason Denayer,2019-2020,24,Lyon,0.2,63.7,67.8,94,0,419.2,8.1,176,0.6,0,0.3,0.1,0.1,0.5,55.6,0,0.4,0,0.5,0.4,0.2,1.4,1.2,0.1,0.8,1.6,3.5,1.9,0,0.3,0,0,81.8,34.9,39.3,1.3,CB,0
Jason Denayer,2020-2021,25,Lyon,0.2,55,58.3,94.4,0,377.6,6.1,115.3,0.5,0,0.2,0,0,0.5,54.1,0,0.7,0.2,0.6,0.2,0.2,1.2,0.9,0.4,0.9,1.8,3.1,1.2,0,0.2,0.1,0.1,100,30.7,34.4,1.3,CB,0
Jason Denayer,2021-2022,26,Lyon,0.5,62,66.3,93.5,0,425.1,7.6,96.5,0.3,0,0.3,0.1,0.1,0.4,42.1,0.2,0.6,0.4,0.4,0.5,0.1,0.7,0.6,0.1,1.4,2.4,4.7,2.3,0,0.3,0.1,0.1,100,40.6,34.5,0.8,CB,0
Jean-Charles Castelletto,2019-2020,24,Brest,0.1,41.9,49.6,84.5,0,322,7.8,91,0.4,0,0.2,0.2,0,0.5,59.6,0.1,1.3,0.5,0.4,0.4,0.4,1,0.8,0.2,1.6,2.5,4.3,1.1,0,0.5,0.2,0.2,100,34.1,23.5,1.4,CB,0
Jean-Charles Castelletto,2020-2021,25,Nantes,0.4,30.1,37.2,80.9,0,224,5,42.9,0.4,0,0.2,0.1,0,0.4,68.4,0.2,1.5,0.3,0.8,0.8,0.6,1.2,0.9,0.3,1.9,3.4,3.7,2.6,0,0.1,0,0,100,23.3,21.9,1.2,CB,0
Jean-Charles Castelletto,2021-2022,26,Nantes,0.6,37.1,43.3,85.8,0,263.5,6,69.8,0.3,0.1,0.2,0.2,0,0.6,64.4,0.3,1.5,0.4,0.9,0.9,0.4,1.4,1,0.4,1.1,2.7,2.6,2.2,0,0.3,0.3,0.3,87.5,21.1,28.2,2.4,CB,0
