Player,Season,Age,Team,Assist,Non_penalty_goals,Non_penalty_xG,Expected_assists,Non_penalty_expGoals_perShot,Shot_/90,Goals_perShot_onTarget,Shots_onTarget%,Passes_completed,Passes_completition%,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,Attempted_long_passes,Carries/90,PrgDist_Carries,Miscontrols,Dispossesd,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Fouls_committed,Fouls_drawn,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Interceptions,Tackles_+Interc,Dead_ball_pass,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Offsides,Succ_Takes_on%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Role,Tier_league
Téji Savanier,2018-2019,26,Nîmes,0.4,0.1,0.1,0.2,0.04,2.0,0.12,27.0,38.8,65.5,0.7,0.2,7.7,19.5,37.9,122.9,2.0,1.4,0.7,0.3,4.9,2.2,48.9,1.6,3.0,1.4,2.3,1.0,2.0,5.0,10.3,0.2,1.6,8.0,5.4,0.0,66.9,2.6,14.8,41.1,19.2,0.6,AM,0
Téji Savanier,2019-2020,27,Montpellier,0.1,0.2,0.1,0.1,0.04,1.7,0.57,24.1,41.8,74.6,0.7,0.1,7.4,14.4,37.5,109.8,2.4,0.9,0.5,0.2,4.1,2.3,62.9,2.3,3.3,1.5,3.1,0.6,2.1,5.1,5.6,0.1,1.5,5.0,2.7,0.0,61.1,1.7,12.3,42.4,16.4,0.4,AM,0
Téji Savanier,2020-2021,28,Montpellier,0.2,0.1,0.1,0.3,0.05,2.2,0.18,32.7,35.9,68.8,1.0,0.3,7.1,15.3,34.1,89.6,2.0,1.8,0.5,0.2,6.0,2.5,46.2,2.4,2.7,0.9,2.1,1.2,1.6,3.6,7.4,0.1,1.3,6.8,4.0,0.0,62.2,1.1,10.4,34.3,22.0,1.6,AM,0
Thomas Lemar,2017-2018,21,Monaco,0.3,0.1,0.1,0.2,0.08,1.8,0.18,23.4,38.4,77.0,1.4,0.3,6.9,9.3,39.4,131.3,2.0,1.6,0.6,0.3,4.0,2.1,31.8,0.3,1.6,0.4,1.2,0.8,0.7,1.9,6.4,0.4,0.5,6.4,3.2,0.2,51.7,0.6,4.4,32.5,24.1,1.4,AM,1
Timothy Weah,2020-2021,20,Lille,0.0,0.3,0.3,0.1,0.12,2.5,0.33,37.5,23.2,73.9,0.8,0.0,1.9,2.1,23.5,64.6,2.5,0.8,0.0,0.0,1.5,1.1,35.5,1.4,0.7,0.7,0.7,0.7,0.4,1.9,0.8,0.0,0.0,2.2,0.0,0.4,53.3,0.3,4.7,17.9,19.7,3.5,RW,0
Timothy Weah,2021-2022,21,Lille,0.2,0.2,0.2,0.2,0.12,1.9,0.33,26.5,22.7,71.9,0.8,0.5,2.4,2.3,27.5,76.4,1.9,1.2,0.5,0.3,3.0,2.1,42.0,0.6,1.1,0.6,0.6,0.9,0.6,1.6,1.4,0.1,0.1,2.7,0.1,0.3,51.4,0.6,4.3,17.7,19.4,3.7,RW,1
Vagner Gonçalves,2020-2021,24,Metz,0.1,0.2,0.3,0.1,0.16,1.8,0.5,21.1,17.3,73.8,0.7,0.1,1.8,1.8,23.9,53.6,4.6,2.3,0.5,0.2,3.0,1.6,17.0,2.3,2.6,0.2,1.2,0.6,0.4,1.9,1.9,0.3,0.1,1.7,0.2,0.8,45.0,0.1,4.2,16.3,16.0,2.8,RW,0
Wahbi Khazri,2017-2018,26,Rennes,0.1,0.3,0.2,0.1,0.08,2.9,0.33,29.5,24.8,72.4,0.6,0.2,3.0,5.9,27.3,79.9,3.2,2.6,0.3,0.2,3.5,1.8,33.3,1.8,2.4,0.3,1.5,1.4,0.3,1.5,4.2,0.4,0.9,3.0,1.7,0.8,63.4,0.1,3.4,22.1,22.2,3.7,LW,0
Wahbi Khazri,2018-2019,27,Saint-Étienne,0.2,0.3,0.3,0.2,0.1,2.9,0.28,35.6,23.2,65.9,0.8,0.1,3.8,8.3,25.1,75.5,2.8,2.2,0.4,0.1,4.9,2.1,21.3,1.7,1.7,0.5,1.0,0.9,0.4,1.7,8.0,0.1,0.9,6.3,4.2,0.7,57.5,0.2,2.3,20.0,25.5,4.1,LW,0
Wahbi Khazri,2019-2020,28,Saint-Étienne,0.2,0.2,0.2,0.1,0.07,3.4,0.25,18.2,17.2,61.5,0.9,0.2,2.8,5.7,23.1,77.5,3.5,2.1,0.3,0.2,3.1,1.8,23.1,1.6,1.5,0.7,1.4,0.9,0.3,1.6,5.6,0.2,0.9,4.5,2.8,0.4,53.3,0.2,1.9,17.1,23.4,3.7,LW,0
Yann Karamoh,2018-2019,20,Bordeaux,0.1,0.2,0.3,0.2,-0.1,0.12,0.08,0.8,30.6,39.6,2.6,1.2,0.6,2.2,40.5,243.4,1.3,2.9,7.5,0.3,0.1,4.9,0.0,0.8,2.0,0.1,0.9,0.7,0.4,1.0,3.8,0.5,0.3,5.1,1.9,0.3,54.3,0.4,4.3,25.1,24.9,2.9,LW,0
Yannis Salibur,2017-2018,26,Guingamp,0.2,0.2,0.2,0.2,0.07,3.2,0.2,27.8,27.9,75.3,1.1,0.2,3.9,4.6,31.4,115.1,1.8,1.8,0.4,0.3,4.1,2.4,43.5,1.2,2.2,0.2,0.7,0.4,0.4,1.1,3.1,0.1,0.1,4.7,1.8,0.4,65.4,0.1,3.8,20.6,22.7,3.2,RW,0
Yannis Salibur,2018-2019,27,2 Teams,0.3,0.1,0.2,0.2,0.06,3.4,0.25,11.8,23.4,69.9,1.2,0.7,3.9,3.7,30.3,126.6,2.0,2.9,0.6,0.2,4.9,2.7,34.6,2.1,3.1,0.1,0.6,0.6,0.8,1.7,3.4,0.1,0.1,5.6,2.0,0.6,70.3,0.1,4.0,19.7,22.5,3.4,RW,0
Yannis Salibur,2017-2018,26,Guingamp,0.2,0.2,0.2,0.2,0.0,0.07,0.06,0.9,27.8,37.1,2.1,1.1,0.2,2.5,53.8,234.2,0.9,1.8,8.0,0.4,0.3,4.1,43.5,1.2,2.2,0.2,0.7,0.4,0.4,1.1,3.1,0.1,0.1,4.7,1.8,0.4,65.4,0.1,3.8,20.6,22.7,3.2,RW,0
Yannis Salibur,2018-2019,27,Saint-Étienne,0.3,0.1,0.2,0.2,0.0,0.06,0.03,0.4,11.8,34.0,2.5,1.2,0.7,1.5,41.7,230.3,1.8,2.0,8.9,0.6,0.2,5.0,34.6,2.1,3.2,0.1,0.6,0.6,0.8,1.7,3.4,0.1,0.1,5.6,1.9,0.6,70.3,0.1,4.1,20.0,22.7,3.5,RW,0
