Player,Season,Age,Team,Expected_assists,Shot_/90,Passes_attempted,Passes_completition%,Crosses_into18yard_box,TotProgressive_passes,Attempted_long_passes,PrgDist_Carries,Carries_into_final_third,Miscontrols,Dispossesd,Received,Shot_creating_actions,Aerials_Won%,Yellow_cards,Fouls_committed,Fouls_drawn,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Succ_Takes_on%,Touches_Def_Pen,Touches_Def__3rd,Touches_Mid__3rd,Touches_Att__3rd,Touches_Att__Pen,Role,Tier_league
Pedro Rebocho,2017-2018,22,Guingamp,0.1,0.04,41,53.9,0.9,637.5,3.4,76.6,1.4,1.7,0.6,35.2,1.8,44.1,0.2,0.9,0.6,1.2,0.6,0.8,0.3,0.7,1,2.5,4,11.5,1.2,0,0.2,3.1,0.2,69.6,3.1,19.1,30.9,14.7,0.4,LB,0
Pedro Rebocho,2018-2019,23,Guingamp,0.2,0.04,42.4,58.6,1.1,735.3,4.1,94.7,1.8,0.9,0.8,33.2,2.5,54.3,0.1,0.5,0.9,1,0.8,0.7,0.4,1,1.1,2.8,2.6,15.8,2.3,0,0.2,6.9,2.3,73.3,2.9,18.2,31.3,18.9,0.5,LB,0
Pierre-Yves Polomat,2018-2019,24,Saint-Étienne,0.2,0.03,41.5,52.8,1.1,658.2,2.8,72.8,0.8,0.9,0.9,36.9,2.2,51.6,0.2,1.1,0.6,1.2,0.9,0.8,0.2,0.2,2,3.7,2.6,9,0.3,0,0.4,3.3,0,40,1.4,17.2,29,18.2,1,LB,0
Pol Lirola,2020-2021,22,Marseille,0.2,0.13,36.2,47.6,1.1,558.7,2.8,116.7,2.1,2.2,0.6,32.6,2.2,63,0.2,0.8,0.9,0.9,0.9,0.7,0.3,0.8,1.4,3.1,1.5,9.2,0.6,0,0.8,3.4,0,60.4,2.4,14.6,25.8,19.4,2.4,RB,1
Pol Lirola,2021-2022,23,Marseille,0.2,0.1,45.5,56.5,1.6,678.8,2.9,133.7,1.7,1.9,0.9,45.3,2.8,70.4,0.1,0.6,0.7,0.8,0.7,0.8,0,0.8,0.7,2.1,1.1,7.5,0.6,0.2,0.3,3.6,0.1,54.3,1.5,12.7,30,24.2,3.1,RB,1
Quentin Merlin,2021-2022,19,Nantes,0.1,0.03,48,63.5,1.2,840.7,5.4,128.7,1.9,1.2,0.5,43,2.9,29.4,0,0.5,0.2,1.3,1.2,1.1,0.2,1,1.3,3.4,1.4,13.1,1.4,0,0.4,6.4,2.1,62.1,2.1,16.4,35.3,21.6,0.7,LB,0
Racine Coly,2019-2020,23,Nice,0,0.8,74.1,84.3,0.1,340,5,111.4,0.6,2.2,0.4,55.6,1.7,60,0.7,1.7,1.1,1.8,1.2,1.1,0,0.7,1.7,4.6,3.2,12.5,0,0.4,1.2,1.2,0,55.6,4,28.8,49.9,9.7,1,LB,0
Rafael,2017-2018,27,Lyon,0.2,0.09,49.2,62.1,0.7,708.5,2.4,132.6,3.1,1.2,0.7,44.1,2.4,49.1,0.4,1.7,1.3,1.4,1.1,1,0.1,0.8,2.1,4.8,2.6,11.2,0.7,0,0.2,3.1,0,54.5,2.4,16.9,39,19.4,1.5,RB,0
Rafael,2018-2019,28,Lyon,0.1,0.03,52,65.6,0.9,741.7,1.8,155.5,2.6,1.4,1.3,46.4,2.9,53.1,0.4,1.9,1.7,1.7,1.5,0.6,0.2,1.5,1.3,4,2.6,10.7,1.3,0.2,0.3,4.1,0,55,3.3,18.3,40.6,18.5,0.8,RB,0
Ramy Bensebaini,2017-2018,22,Rennes,0.1,0.7,55.7,74.8,0.3,269.2,8.6,92.9,1.1,0.5,0.2,37.4,1.3,71,0.2,1.5,1.5,1.5,1,1.1,0.6,0.3,1.4,3.6,6.8,8.2,0,0.5,2.4,2.4,0,67.6,4.7,23.4,34.6,11.4,1.1,LB,1
Ramy Bensebaini,2018-2019,23,Rennes,0.1,0.7,53.2,77,0.2,278.9,7.4,114,1.7,1.3,0.4,35.7,1.5,61.4,0.4,1.3,1.4,2,1.7,0.8,0.4,0.6,1.7,4.6,4.1,9.8,0,0.3,1.4,1.4,0,42.9,3.8,21.9,32.2,12.8,1,LB,1
Rayan Aït-Nouri,2019-2020,18,Angers,0.1,0.3,56.7,76.5,0.9,288.8,6.9,113.1,2.5,1.9,1.7,38.6,1.8,73.9,0.2,0.8,0.8,1.5,0.7,0.8,0.1,0.9,1.3,3.3,2.3,10.6,0,0.1,3,3,0,54.3,2.4,21.2,30.9,16.7,0.9,LB,1
Reinildo Mandava,2019-2020,25,Lille,0,0.03,42.2,54.2,0.7,615.8,2.2,81.3,2,0.9,0.6,36.2,1.4,50,0.3,1.7,1.7,1.7,2,1.3,0.1,1.2,1.5,4.5,1.6,8.6,0.8,0,0.2,3.2,0,57.1,1.8,12.7,36.2,16.2,0.6,LB,1
Reinildo Mandava,2020-2021,26,Lille,0.1,0.03,51.9,65.7,1.2,786,3.1,93.2,1.8,1,0.5,44.3,1.8,75.4,0.1,1.6,1.4,1.8,1.4,0.9,0.1,0.9,1.9,5.1,2.2,10.4,1.1,0,0.1,3.4,0,71.8,2.9,20.1,37.8,19.2,0.5,LB,1
Reinildo Mandava,2021-2022,27,Lille,0,0.08,47.3,56.8,0.2,689.5,1.8,115.4,1.8,0.9,0.5,39.3,1.6,71.1,0.4,1.9,1.6,1.4,1.9,1.1,0.2,0.5,2.2,4.7,3.2,10.1,1.2,0,0.1,1.2,0,51.9,3.8,21.9,34.7,12.6,1.1,LB,1
Ricardo Mangas,2021-2022,23,Bordeaux,0.1,0.1,30.9,40.4,0.5,532.5,2.8,93.7,1.3,1.3,0.5,27.5,1.5,44.6,0.1,1,1.1,0.8,1,0.6,0.2,0.5,1,2.3,1.8,8.3,0.7,0.1,0.4,1.5,0,48.8,3.3,17.6,20.9,12.1,1.6,LB,0
Romain Perraud,2019-2020,21,Brest,0.1,0.05,47.9,62.5,0.8,755.3,3,96.8,1.2,1.9,1,41.1,1.7,28.6,0.1,1.2,1.6,0.8,0.8,0.8,0.5,0.8,1.5,3,2.7,14.9,1.5,0,0.4,3.2,0,57.1,3.4,25.2,33.5,17,1,LB,1
Romain Perraud,2020-2021,22,Brest,0.2,0.06,45.5,58.5,1.3,753,3.9,113.5,1.8,0.9,0.5,41.3,2.5,36.4,0.1,1.3,1.5,1,0.7,0.6,0.1,0.9,1.3,3,2.2,11.1,0.8,0,0.2,3.8,0.1,64.6,3.1,23,27.4,19.1,1.1,LB,0
