consensus_rank,Player,Season,Team,Role,proba_1_Logistic,proba_1_XGB,proba_1_MLP,rank_proba_1_Logistic,rank_proba_1_XGB,rank_proba_1_MLP,consensus_score
143,Lukas Lerager,2017-2018,Bordeaux,CM,0.4296134174099234,0.024247313,0.19349173782320173,174.0,113.0,166.0,151.0
144,Flavien Tait,2017-2018,Angers,CM,0.552418827539245,0.0069556586,0.22657938822478677,111.0,194.0,149.0,151.33333333333334
145,Yann M'Vila,2017-2018,Saint-Étienne,DM,0.4638250852712834,0.013630852,0.2351301347689103,154.0,156.0,147.0,152.33333333333334
146,Jean-Victor Makengo,2019-2020,Toulouse,CM,0.433345557899634,0.017766431,0.20335625883423222,170.0,127.0,161.0,152.66666666666666
147,Mehdi Abeid,2018-2019,Dijon,CM,0.45083021916782723,0.015821524,0.2085429049653767,161.0,143.0,157.0,153.66666666666666
148,Jean-Ricner Bellegarde,2019-2020,Strasbourg,CM,0.4815208671019656,0.012325967,0.20101918544812214,142.0,162.0,163.0,155.66666666666666
149,Valon Berisha,2020-2021,Reims,LM,0.4782092492469273,0.010258145,0.21259587973501248,147.0,168.0,154.0,156.33333333333334
150,Sidy Sarr,2019-2020,Nîmes,DM,0.4034530907824134,0.015973378,0.2409510852351614,195.0,140.0,135.0,156.66666666666666
151,Xeka,2018-2019,Lille,CM,0.4019345330946719,0.9675607,0.10771000533931531,196.0,46.0,229.0,157.0
152,Pablo Rosario,2021-2022,Nice,DM,0.45773588279513155,0.019306755,0.15859953612042282,158.0,123.0,191.0,157.33333333333334
153,Marshall Munetsi,2019-2020,Reims,CM,0.4741214685190144,0.0047829538,0.28808406875513115,149.0,214.0,114.0,159.0
154,Otávio,2018-2019,Bordeaux,DM,0.42554681988675824,0.017890565,0.18059813893385862,179.0,126.0,173.0,159.33333333333334
155,Salis Abdul Samed,2021-2022,Clermont Foot,DM,0.47715082181603685,0.009879441,0.19163234740026353,148.0,174.0,167.0,163.0
156,Adrien Tameze,2018-2019,Nice,DM,0.42722744822206116,0.8756756,0.09987376697449771,176.0,76.0,237.0,163.0
157,Azor Matusiwa,2021-2022,Reims,DM,0.4386054178655974,0.01582073,0.16763531424214628,168.0,144.0,181.0,164.33333333333334
158,Abdoulaye Touré,2017-2018,Nantes,DM,0.4544872858149086,0.01481825,0.16324550387294337,159.0,148.0,186.0,164.33333333333334
159,Pierre Lees-Melou,2018-2019,Nice,DM,0.47237628884084487,0.013544139,0.15990097330337255,151.0,157.0,189.0,165.66666666666666
160,Marshall Munetsi,2020-2021,Reims,CM,0.41699568843026125,0.014041211,0.20245059721329275,184.0,151.0,162.0,165.66666666666666
161,Flavien Tait,2020-2021,Rennes,CM,0.6165173464304536,0.017558515,0.051015274882597696,73.5,130.5,295.5,166.5
162,Jérémy Gélin,2017-2018,Rennes,DM,0.4796139738289251,0.011583607,0.15524306358488044,143.0,163.0,194.0,166.66666666666666
163,Benjamin Bourigeaud,2018-2019,Rennes,CM,0.4081288080255001,0.9163377,0.0999634726763786,192.0,72.0,236.0,166.66666666666666
164,Enzo Le Fée,2020-2021,Lorient,CM,0.4250825111986562,0.007916847,0.24822935046957845,181.0,188.0,132.0,167.0
165,Vincent Pajot,2017-2018,Saint-Étienne,DM,0.38475971662202174,0.017244304,0.19470152380127448,204.0,133.0,165.0,167.33333333333334
166,Lassana Coulibaly,2017-2018,Angers,CM,0.4739830089043134,0.0036064105,0.2632316375189269,150.0,225.0,127.0,167.33333333333334
167,Moreto Cassamã,2020-2021,Reims,CM,0.5125615401808133,0.0023698008,0.24567122895953075,128.0,240.0,134.0,167.33333333333334
168,James Lea Siliki,2017-2018,Rennes,CM,0.40850737060168746,0.0181589,0.16183317096208275,191.0,125.0,188.0,168.0
169,Jean-Eudes Aholou,2019-2020,Saint-Étienne,DM,0.42628276175507435,0.008555539,0.21049002260350677,178.0,182.0,155.0,171.66666666666666
170,Manu Koné,2019-2020,Toulouse,CM,0.397929782427303,0.0047087725,0.3089903565863812,199.0,215.0,102.0,172.0
171,Xeka,2021-2022,Lille,CM,0.4047231388139142,0.026334956,0.11887049593080869,194.0,106.0,218.0,172.66666666666666
172,Flavien Tait,2020-2021,Rennes,CM,0.6165173464304536,0.00047895766,0.2400598153138379,73.5,306.5,138.5,172.83333333333334
173,Nampalys Mendy,2017-2018,Nice,DM,0.39360368257566525,0.91729933,0.08820687411600424,201.0,71.0,250.0,174.0
174,Enzo Le Fée,2021-2022,Lorient,CM,0.5814180944993794,0.0007305862,0.23907146128797793,93.5,285.5,143.5,174.16666666666666
175,Lamine Fomba,2020-2021,Nîmes,DM,0.37278082587296285,0.019833697,0.1587924318415625,213.0,120.0,190.0,174.33333333333334
176,Flavien Tait,2019-2020,Rennes,CM,0.5712160550778513,0.0013769547,0.20619801524505132,100.0,263.0,160.0,174.33333333333334
177,Benjamin Bourigeaud,2017-2018,Rennes,CM,0.377049071659679,0.05206112,0.09915330899017809,209.0,78.0,238.0,175.0
178,Toma Bašić,2020-2021,Bordeaux,CM,0.3542138018614644,0.92908466,0.10503060411558685,223.0,69.0,233.0,175.0
