Player,Season,Team,Role,Tier_league,p_upward_best,rank_best,percentile_best,p_upward_mlp,rank_mlp,percentile_mlp
Issiaga Sylla,2020-2021,Lens,LB,0,0.3730616352642357,57,0.7829457364341085,0.5532831648168678,52,0.8023255813953488
Massadio Haïdara,2020-2021,Lens,LB,0,0.3527516404243762,58,0.7790697674418605,0.2799330706195484,87,0.6666666666666666
Jérôme Roussillon,2017-2018,Montpellier,LB,1,0.3526135444687596,59,0.7751937984496124,0.5922797129016663,51,0.8062015503875969
Henrique,2021-2022,Lyon,LB,0,0.35258973807586674,60,0.7713178294573644,0.3762652189765806,72,0.7248062015503876
Djibril Sidibé,2020-2021,Monaco,RB,0,0.3505922897809082,61,0.7674418604651163,0.49951497671239037,56,0.7868217054263565
Kévin Malcuit,2017-2018,Lille,RB,1,0.3477630744720943,62,0.7635658914728682,0.5353911705169712,54,0.7945736434108527
Racine Coly,2019-2020,Nice,LB,0,0.33984990067119736,63,0.7596899224806202,0.35519181304580105,75,0.7131782945736435
Ruben Aguilar,2021-2022,Monaco,RB,0,0.3378794869459725,64,0.7558139534883721,0.418305312498703,65,0.751937984496124
Hamari Traoré,2019-2020,Rennes,RB,0,0.314401204853361,65,0.751937984496124,0.19563970923024954,114,0.562015503875969
Youssouf Koné,2019-2020,Lyon,LB,0,0.31276310102370797,66,0.748062015503876,0.3951349872281939,68,0.7403100775193798
Mattia De Sciglio,2020-2021,Lyon,RB,1,0.3117436733045588,67,0.7441860465116279,0.34863010618990775,77,0.7054263565891473
Bouna Sarr,2019-2020,Marseille,RB,0,0.31027656657094554,68,0.7403100775193798,0.3699932346600194,74,0.7170542635658915
Zeki Çelik,2019-2020,Lille,RB,1,0.30617142429474525,69,0.7364341085271318,0.5520472190771821,53,0.7984496124031008
Leo Dubois,2021-2022,Lyon,RB,0,0.3036730355419756,70,0.7325581395348837,0.2740379418176815,88,0.6627906976744186
Falaye Sacko,2021-2022,Saint-Étienne,RB,0,0.2944484444283228,71,0.7286821705426356,0.37840608966333444,71,0.7286821705426356
Arnaud Souquet,2017-2018,Nice,RB,0,0.28953001240436393,72,0.7248062015503876,0.5341778141249078,55,0.7906976744186046
Anthony Caci,2018-2019,Strasbourg,RB,0,0.28104943912044217,73,0.7209302325581395,0.7630146778462664,33,0.875968992248062
Leo Dubois,2019-2020,Lyon,RB,0,0.2802085256463879,74,0.7170542635658915,0.2828305943221255,85,0.6744186046511628
Anthony Caci,2020-2021,Strasbourg,RB,1,0.27559181672500516,75,0.7131782945736435,0.6021303066586953,49,0.813953488372093
Pierre-Yves Polomat,2018-2019,Saint-Étienne,LB,0,0.2726429804221044,76,0.7093023255813954,0.40513550240739243,66,0.748062015503876
Romain Perraud,2020-2021,Brest,LB,0,0.2708195387618257,77,0.7054263565891473,0.21856098724429665,103,0.6046511627906976
Faitout Maouassa,2020-2021,Rennes,LB,0,0.2676066359867149,78,0.7015503875968992,0.23427154142562523,99,0.6201550387596899
Rafael,2017-2018,Lyon,RB,0,0.2594788225905404,79,0.6976744186046512,0.19951612892262396,113,0.5658914728682171
Ruben Aguilar,2017-2018,Montpellier,RB,0,0.2557051367296692,80,0.6937984496124031,0.25383126536588446,93,0.6434108527131783
Ruben Aguilar,2018-2019,Montpellier,RB,1,0.25539057762226647,81,0.689922480620155,0.26778528585582484,90,0.6550387596899225
Bouna Sarr,2018-2019,Marseille,RB,0,0.2510864565953372,82,0.686046511627907,0.20933619629422204,106,0.5930232558139535
Youcef Atal,2021-2022,Nice,RB,0,0.25004981550606653,83,0.6821705426356589,0.3896162445354442,69,0.7364341085271318
Mihailo Ristić,2019-2020,Montpellier,LB,0,0.2470869063023291,84,0.6782945736434108,0.3515894382276096,76,0.7093023255813954
Hamari Traoré,2018-2019,Rennes,RB,0,0.24318284277533278,85,0.6744186046511628,0.1893910538223993,119,0.5426356589147286
Reinildo Mandava,2021-2022,Lille,LB,1,0.24220093141923135,86,0.6705426356589147,0.18713125431762878,121,0.5348837209302325
Issiaga Sylla,2018-2019,Toulouse,LB,0,0.2405981627234116,87,0.6666666666666666,0.3404724486385036,78,0.7015503875968992
Lionel Carole,2019-2020,Strasbourg,LB,0,0.24051378729524475,88,0.6627906976744186,0.339399177703957,79,0.6976744186046512
Ronaël Pierre-Gabriel,2020-2021,Brest,RB,0,0.23350737649138725,89,0.6589147286821705,0.22046068239157376,102,0.6085271317829457
Ramy Bensebaini,2018-2019,Rennes,LB,1,0.23219613557771956,90,0.6550387596899225,0.28054197160263616,86,0.6705426356589147
Hamari Traoré,2017-2018,Rennes,RB,0,0.22903340291552268,91,0.6511627906976745,0.24178346065520434,95,0.6356589147286822
Mihailo Ristić,2021-2022,Montpellier,LB,0,0.22487155261393643,92,0.6472868217054264,0.17242163043516848,124,0.5232558139534884
Youssouf Sabaly,2018-2019,Bordeaux,RB,0,0.22162769610917663,93,0.6434108527131783,0.20130288368017166,111,0.5736434108527132
Hassane Kamara,2020-2021,Nice,LB,1,0.21910086735398707,94,0.6395348837209303,0.39734233878901715,67,0.7441860465116279
Birger Meling,2021-2022,Rennes,LB,0,0.21791677388498834,95,0.6356589147286822,0.19463663987368754,115,0.5581395348837209
Enock Kwateng,2020-2021,Bordeaux,RB,0,0.21708047881388526,96,0.6317829457364341,0.17463597708087472,123,0.5271317829457365
Akim Zedadka,2021-2022,Clermont Foot,RB,0,0.21651360883141582,97,0.627906976744186,0.24659966094601446,94,0.6395348837209303
Rayan Aït-Nouri,2019-2020,Angers,LB,1,0.21585461654753507,98,0.624031007751938,0.2650231683431427,92,0.6472868217054264
Colin Dagba,2019-2020,Paris S-G,RB,0,0.21567033881740758,99,0.6201550387596899,0.27189494767583056,89,0.6589147286821705
Colin Dagba,2020-2021,Paris S-G,RB,0,0.20966126217091458,100,0.6162790697674418,0.37318144651139695,73,0.7209302325581395
Leo Dubois,2020-2021,Lyon,RB,0,0.20872646804051526,101,0.6124031007751938,0.1596317950204724,132,0.49224806201550386
Zeki Çelik,2018-2019,Lille,RB,1,0.20732189986009444,102,0.6085271317829457,0.3123262372892444,82,0.686046511627907
Jordan Lotomba,2020-2021,Nice,RB,0,0.20648522280732315,103,0.6046511627906976,0.30144664565705165,83,0.6821705426356589
Gabriel Gudmundsson,2021-2022,Lille,LB,1,0.20470515370534004,104,0.6007751937984496,0.4431633000465786,63,0.7596899224806202
Jordan Lotomba,2021-2022,Nice,RB,0,0.20446024704795696,105,0.5968992248062015,0.2955726809444361,84,0.6782945736434108
Rafael,2018-2019,Lyon,RB,0,0.1947653892267007,106,0.5930232558139535,0.10339531717659231,161,0.3798449612403101
Enock Kwateng,2021-2022,Bordeaux,RB,0,0.19278981353952865,107,0.5891472868217055,0.1654477932373423,128,0.5077519379844961
Melvin Bard,2021-2022,Nice,LB,0,0.18545302227651272,108,0.5852713178294574,0.22551988175306148,101,0.6124031007751938
Youssouf Sabaly,2017-2018,Bordeaux,RB,0,0.17966854662334356,109,0.5813953488372093,0.20170507956973963,110,0.5775193798449613
Mehdi Zeffane,2017-2018,Rennes,RB,0,0.17481615451867627,110,0.5775193798449613,0.18926106620001945,120,0.5387596899224806
Kenny Lala,2017-2018,Strasbourg,RB,0,0.1732250381122569,111,0.5736434108527132,0.13328161657440424,146,0.437984496124031
Kenny Lala,2019-2020,Strasbourg,RB,0,0.17229730099227403,112,0.5697674418604651,0.14204115970776723,143,0.4496124031007752
Hiroki Sakai,2017-2018,Marseille,RB,0,0.17211441103230882,113,0.5658914728682171,0.19331516758079265,117,0.5503875968992248
Miguel Trauco,2020-2021,Saint-Étienne,LB,0,0.17017829293091616,114,0.562015503875969,0.20891461584113272,107,0.5891472868217055
Vital N'Simba,2021-2022,Clermont Foot,LB,0,0.16996978230136464,115,0.5581395348837209,0.16925766933183364,126,0.5155038759689923
Arial Mendy,2021-2022,Clermont Foot,LB,0,0.16894651528436128,116,0.5542635658914729,0.3163414681622749,81,0.689922480620155
Issiaga Sylla,2019-2020,Toulouse,LB,0,0.1688191595321294,117,0.5503875968992248,0.15269944797369783,135,0.4806201550387597
Sacha Boey,2020-2021,2 Teams,RB,1,0.1611364465935412,118,0.5465116279069767,0.21807267019044288,104,0.6007751937984496
Sofiane Alakouch,2019-2020,Nîmes,RB,0,0.1591399752646142,119,0.5426356589147286,0.26741328611601606,91,0.6511627906976745
Youssouf Sabaly,2020-2021,Bordeaux,RB,1,0.15892008772387942,120,0.5387596899224806,0.12488752676730579,153,0.4108527131782946
Jordan Amavi,2017-2018,Marseille,LB,0,0.15652731213745535,121,0.5348837209302325,0.19361282475599723,116,0.5542635658914729
Valentin Rosier,2018-2019,Dijon,RB,0,0.15239463714460527,122,0.5310077519379846,0.14700102275025287,140,0.46124031007751937
Sergi Palencia,2018-2019,Bordeaux,RB,0,0.1408937664219118,123,0.5271317829457365,0.13147129230271531,149,0.4263565891472868
Issiaga Sylla,2017-2018,Toulouse,LB,0,0.13994854358134085,124,0.5232558139534884,0.14747971485867448,138,0.4689922480620155
Kenny Lala,2018-2019,Strasbourg,RB,0,0.13608566030197686,125,0.5193798449612403,0.20944726980589978,105,0.5968992248062015
Florian Miguel,2020-2021,Nîmes,LB,0,0.13566409504184335,126,0.5155038759689923,0.2001988821365266,112,0.5697674418604651
Junior Sambia,2020-2021,Montpellier,RB,0,0.13468477220359143,127,0.5116279069767442,0.23524010808091209,98,0.624031007751938
Nicolas Cozza,2021-2022,Montpellier,LB,0,0.13436125129579535,128,0.5077519379844961,0.17809961900812157,122,0.5310077519379846
Birger Meling,2020-2021,Nîmes,LB,0,0.13418117879653932,129,0.5038759689922481,0.07911781037554413,187,0.27906976744186046
Jordan Amavi,2019-2020,Marseille,LB,0,0.13401181611925497,130,0.5,0.08386741297640772,181,0.3023255813953488
Massadio Haïdara,2021-2022,Lens,LB,0,0.13339547157716458,131,0.49612403100775193,0.08899812005259014,173,0.3333333333333333
Ricardo Mangas,2021-2022,Bordeaux,LB,0,0.13055745879583872,132,0.49224806201550386,0.1440163774777661,141,0.4573643410852713
Sofiane Alakouch,2018-2019,Nîmes,RB,0,0.12870214992388385,133,0.4883720930232558,0.20399196043769185,109,0.5813953488372093
Arnaud Souquet,2019-2020,Montpellier,RB,0,0.12808649567116245,134,0.4844961240310077,0.1605149989675658,131,0.49612403100775193
Fodé Ballo-Touré,2017-2018,Lille,LB,0,0.1280753254093151,135,0.4806201550387597,0.14190168628041205,144,0.44573643410852715
Maxime Busi,2021-2022,Reims,RB,0,0.12654981520234757,136,0.47674418604651164,0.20815183592217204,108,0.5852713178294574
Jordan Amavi,2018-2019,Marseille,LB,0,0.12451925693992211,137,0.4728682170542636,0.1297904107894977,150,0.42248062015503873
Fodé Ballo-Touré,2019-2020,Monaco,LB,0,0.12152017286033621,138,0.4689922480620155,0.10677861249751716,159,0.3875968992248062
Ronaël Pierre-Gabriel,2021-2022,Brest,RB,0,0.1156005258908278,139,0.46511627906976744,0.09856667192104979,165,0.3643410852713178
Domagoj Bradarić,2020-2021,Lille,LB,0,0.11239400597359964,140,0.46124031007751937,0.24125955166037827,96,0.6317829457364341
Reinildo Mandava,2019-2020,Lille,LB,1,0.1114821147311057,141,0.4573643410852713,0.16738984227340276,127,0.5116279069767442
Mehdi Zeffane,2018-2019,Rennes,RB,0,0.10777476567782673,142,0.45348837209302323,0.159114271166679,134,0.4844961240310077
Vincent Manceau,2017-2018,Angers,RB,0,0.10761158820345983,143,0.4496124031007752,0.08637515871330685,177,0.3178294573643411
Jordan Ikoko,2017-2018,Guingamp,RB,0,0.10689141324629231,144,0.44573643410852715,0.07316595032506591,192,0.2596899224806202
Lucas Lima,2018-2019,Nantes,LB,0,0.1067531883737951,145,0.4418604651162791,0.15914599481265443,133,0.4883720930232558
Valentin Rosier,2017-2018,Dijon,RB,0,0.10466357950262745,146,0.437984496124031,0.1328815907638195,147,0.43410852713178294
Matthieu Udol,2020-2021,Metz,LB,0,0.10327689536900986,147,0.43410852713178294,0.14789351823072194,137,0.4728682170542636
Thomas Foket,2019-2020,Reims,RB,0,0.10312294397968415,148,0.43023255813953487,0.08355647848943867,182,0.29844961240310075
Hassane Kamara,2019-2020,Reims,LB,0,0.10275388411714732,149,0.4263565891472868,0.08600623680022226,179,0.31007751937984496
