Player,Season,Team,Role,Tier_league,p_upward_best,rank_best,percentile_best
Wout Faes,2021-2022,Reims,CB,0,0.032324705,139,0.43673469387755104
Loris Benito,2020-2021,Bordeaux,CB,0,0.030182427,140,0.4326530612244898
Kelyan Guessoum,2020-2021,Nîmes,CB,0,0.028961072,141,0.42857142857142855
Jason Denayer,2021-2022,Lyon,CB,0,0.028603224,142,0.42448979591836733
Papy Djilobodji,2017-2018,Dijon,CB,0,0.028430384,143,0.4204081632653061
Dylan Bronn,2019-2020,Metz,CB,0,0.028069593,144,0.4163265306122449
Mamadou Fofana,2019-2020,Metz,CB,0,0.027613193,145,0.4122448979591837
Alexander Djiku,2018-2019,Caen,CB,0,0.027197836,146,0.40816326530612246
Alexander Djiku,2020-2021,Strasbourg,CB,0,0.027072528,147,0.40408163265306124
Dénys Bain,2019-2020,Brest,CB,0,0.02701382,148,0.4
Harold Moukoudi,2020-2021,Saint-Étienne,CB,0,0.025969567,149,0.39591836734693875
Brendan Chardonnet,2021-2022,Brest,CB,0,0.025849205,150,0.39183673469387753
Jason Denayer,2020-2021,Lyon,CB,0,0.02548374,151,0.3877551020408163
Maxime Le Marchand,2017-2018,Nice,CB,0,0.025335286,152,0.3836734693877551
Saidou Sow,2020-2021,Saint-Étienne,CB,0,0.024942862,153,0.3795918367346939
Edgar Ié,2018-2019,2 Teams,CB,0,0.024574835,154,0.37551020408163266
Prince-Désir Gouano,2017-2018,Amiens,CB,0,0.024486054,155,0.37142857142857144
Alidu Seidu,2021-2022,Clermont Foot,CB,0,0.024413584,156,0.3673469387755102
Nicholas Opoku,2019-2020,Amiens,CB,0,0.023473317,157,0.363265306122449
Jean-Kevin Duverne,2021-2022,Brest,CB,0,0.022731615,158,0.35918367346938773
Jonathan Gradit,2021-2022,Lens,CB,0,0.022646232,159,0.3551020408163265
Kouadio-Yves Dabila,2017-2018,Lille,CB,0,0.022492902,160,0.3510204081632653
Sikou Niakaté,2021-2022,Metz,CB,0,0.022143165,161,0.3469387755102041
Ruben Gabrielsen,2019-2020,Toulouse,CB,0,0.021793732,162,0.34285714285714286
Julien Laporte,2021-2022,Lorient,CB,0,0.021646695,163,0.33877551020408164
Jemerson,2019-2020,Monaco,CB,0,0.021167258,164,0.3346938775510204
Stefan Mitrović,2018-2019,Strasbourg,CB,0,0.021141315,165,0.3306122448979592
Jean-Charles Castelletto,2019-2020,Brest,CB,0,0.021133926,166,0.32653061224489793
Mickael Nade,2021-2022,Saint-Étienne,CB,0,0.020991972,167,0.3224489795918367
Benjamin Jeannot,2020-2021,Dijon,CB,0,0.020218268,168,0.3183673469387755
Pablo,2017-2018,Bordeaux,CB,0,0.019907538,169,0.3142857142857143
Erik Palmer-Brown,2021-2022,Troyes,CB,0,0.01987396,170,0.31020408163265306
Joris Gnagnon,2019-2020,Rennes,CB,0,0.019660385,171,0.30612244897959184
Vukašin Jovanović,2017-2018,Bordeaux,CB,0,0.019503389,172,0.3020408163265306
Kévin Théophile-Catherine,2017-2018,Saint-Étienne,CB,0,0.019141352,173,0.2979591836734694
Fallou Diagne,2017-2018,Metz,CB,0,0.01910887,174,0.2938775510204082
Timothée Kolodziejczak,2020-2021,Saint-Étienne,CB,0,0.018923365,175,0.2897959183673469
Jean-Charles Castelletto,2021-2022,Nantes,CB,0,0.018916775,176,0.2857142857142857
Haitam Aleesami,2019-2020,Amiens,CB,0,0.018763872,177,0.2816326530612245
Matt Miazga,2018-2019,Nantes,CB,0,0.018720288,178,0.27755102040816326
Jean-Claude Billong,2021-2022,Clermont Foot,CB,0,0.018401539,179,0.27346938775510204
Andrew Gravillon,2020-2021,Lorient,CB,0,0.018241622,180,0.2693877551020408
Vahid Selimović,2017-2018,Metz,CB,0,0.018149177,181,0.2653061224489796
Théo Pellenard,2017-2018,Bordeaux,CB,0,0.017842613,182,0.2612244897959184
Jean-Charles Castelletto,2020-2021,Nantes,CB,0,0.017654607,183,0.2571428571428571
Abdoulaye Bamba,2017-2018,Angers,CB,0,0.017563377,184,0.2530612244897959
Yoann Salmier,2021-2022,Troyes,CB,0,0.016596664,185,0.24897959183673468
Bafodé Diakité,2019-2020,Toulouse,CB,0,0.016379915,186,0.24489795918367346
Julien Laporte,2020-2021,Lorient,CB,0,0.016175995,187,0.24081632653061225
Alexander Djiku,2021-2022,Strasbourg,CB,0,0.015947856,188,0.23673469387755103
Gaëtan Paquiez,2020-2021,Nîmes,CB,0,0.015792593,189,0.23265306122448978
Loris Benito,2019-2020,Bordeaux,CB,0,0.015705632,190,0.22857142857142856
Jonathan Gradit,2018-2019,Caen,CB,0,0.015704947,191,0.22448979591836735
Tiago Djaló,2021-2022,Lille,CB,0,0.0155153405,192,0.22040816326530613
Jemerson,2018-2019,Monaco,CB,0,0.015322858,193,0.2163265306122449
Mexer,2017-2018,Rennes,CB,0,0.014915721,194,0.21224489795918366
Younn Zahary,2018-2019,Caen,CB,0,0.014785533,195,0.20816326530612245
Christophe Hérelle,2017-2018,Troyes,CB,0,0.014241016,196,0.20408163265306123
Vukašin Jovanović,2018-2019,Bordeaux,CB,0,0.014089462,197,0.2
Jemerson,2021-2022,Metz,CB,0,0.013845576,198,0.19591836734693877
Anthony Briançon,2020-2021,Nîmes,CB,0,0.013623399,199,0.19183673469387755
Flavius Daniliuc,2021-2022,Nice,CB,0,0.013504284,200,0.18775510204081633
Jonathan Rivierez,2017-2018,Metz,CB,0,0.013494118,201,0.1836734693877551
Senou Coulibaly,2020-2021,Dijon,CB,0,0.013440117,202,0.17959183673469387
Tiago Djaló,2019-2020,Lille,CB,0,0.013386197,203,0.17551020408163265
Matheus Thuler,2021-2022,Montpellier,CB,0,0.013123389,204,0.17142857142857143
Loïck Landre,2020-2021,Nîmes,CB,0,0.01271329,205,0.1673469387755102
Mateo Pavlović,2017-2018,Angers,CB,0,0.012155058,206,0.16326530612244897
Pablo Martinez,2017-2018,Strasbourg,CB,0,0.011469765,207,0.15918367346938775
Jean-Kevin Duverne,2020-2021,Brest,CB,0,0.011411365,208,0.15510204081632653
Saidou Sow,2021-2022,Saint-Étienne,CB,0,0.011330973,209,0.1510204081632653
Pedro Mendes,2018-2019,Montpellier,CB,0,0.010785931,210,0.1469387755102041
Stian Rode Gregersen,2021-2022,Bordeaux,CB,0,0.010621759,211,0.14285714285714285
Jonathan Gradit,2020-2021,Lens,CB,0,0.010605675,212,0.13877551020408163
Molla Wagué,2019-2020,Nantes,CB,0,0.010296928,213,0.1346938775510204
Boubakar Kouyaté,2021-2022,Metz,CB,0,0.010221768,214,0.1306122448979592
Gerzino Nyamsi,2021-2022,Strasbourg,CB,0,0.009971263,215,0.12653061224489795
Jordan Lefort,2019-2020,Amiens,CB,0,0.0098153865,216,0.12244897959183673
Prince-Désir Gouano,2018-2019,Amiens,CB,0,0.009516528,217,0.11836734693877551
Enzo Ebosse,2021-2022,Angers,CB,0,0.009252365,218,0.11428571428571428
Timothée Kolodziejczak,2019-2020,Saint-Étienne,CB,0,0.009239523,219,0.11020408163265306
Gaëtan Paquiez,2019-2020,Nîmes,CB,0,0.009169025,220,0.10612244897959183
Nicolas Isimat-Mirin,2019-2020,Toulouse,CB,0,0.008609477,221,0.10204081632653061
Pedro Mendes,2019-2020,Montpellier,CB,0,0.008601163,222,0.09795918367346938
Mateo Pavlović,2018-2019,Angers,CB,0,0.008414585,223,0.09387755102040816
Andrei Girotto,2020-2021,Nantes,CB,0,0.0082916645,224,0.08979591836734693
Jordan Lefort,2018-2019,Amiens,CB,0,0.0076148724,225,0.08571428571428572
Gaëtan Paquiez,2018-2019,Nîmes,CB,0,0.0075567476,226,0.08163265306122448
Timothée Kolodziejczak,2018-2019,Saint-Étienne,CB,0,0.007249612,227,0.07755102040816327
Mamadou Fofana,2020-2021,Metz,CB,0,0.00720124,228,0.07346938775510205
Dylan Bronn,2021-2022,Metz,CB,0,0.006827003,229,0.06938775510204082
Bakaye Dibassy,2017-2018,Amiens,CB,0,0.006779813,230,0.0653061224489796
Cédric Yamberé,2018-2019,Dijon,CB,0,0.0065643736,231,0.061224489795918366
Cédric Hountondji,2021-2022,Clermont Foot,CB,0,0.0065133846,232,0.05714285714285714
Anthony Briançon,2018-2019,Nîmes,CB,0,0.0060199685,233,0.053061224489795916
Andrew Gravillon,2021-2022,Reims,CB,0,0.005751615,234,0.04897959183673469
Oussama Haddadi,2017-2018,Dijon,CB,0,0.005454234,235,0.044897959183673466
Léo Lacroix,2017-2018,Saint-Étienne,CB,0,0.0054522036,236,0.04081632653061224
Arturo Calabresi,2019-2020,Amiens,CB,0,0.00538204,237,0.036734693877551024
Christophe Hérelle,2021-2022,Brest,CB,0,0.0053517423,238,0.0326530612244898
Loïck Landre,2019-2020,Nîmes,CB,0,0.005300185,239,0.02857142857142857
Abdoulaye Bamba,2018-2019,Angers,CB,0,0.0034197436,240,0.024489795918367346
Loïck Landre,2018-2019,Nîmes,CB,0,0.0030193026,241,0.02040816326530612
Yoann Salmier,2017-2018,Strasbourg,CB,0,0.0027240587,242,0.0163265306122449
Gen Shoji,2018-2019,Toulouse,CB,0,0.0026251462,243,0.012244897959183673
Oussama Haddadi,2018-2019,Dijon,CB,0,0.0026222714,244,0.00816326530612245
Bakaye Dibassy,2018-2019,Amiens,CB,0,0.0022395006,245,0.004081632653061225
