consensus_rank,Player,Season,Team,Role,proba_1_Logistic,proba_1_XGB,proba_1_MLP,rank_proba_1_Logistic,rank_proba_1_XGB,rank_proba_1_MLP,consensus_score
262,Stiven Mendoza,2017-2018,Amiens,LW,0.01629263609404954,0.0014559167,0.39693127014124097,250.0,268.0,221.0,246.33333333333334
263,Stiven Mendoza,2018-2019,Amiens,LW,0.02531326245814495,0.0029726473,0.3105517312213832,232.0,256.0,253.0,247.0
264,Hervé Bazile,2017-2018,Caen,LW,0.0013984947597732835,0.00074871583,0.44222746947752734,274.0,273.0,196.0,247.66666666666666
265,Jim Allevinah,2021-2022,Clermont Foot,RW,0.017463603137712436,0.0017024582,0.384873019285127,249.0,265.0,230.0,248.0
266,Marcus Coco,2020-2021,Nantes,RW,0.018266515831505212,0.0073494604,0.2509443058020808,247.0,236.0,266.0,249.66666666666666
267,Juan Ferney Otero,2019-2020,Amiens,RW,0.04564259978986335,0.0012794068,0.22928748076606503,215.0,270.0,269.0,251.33333333333334
268,Yassine Benrahou,2020-2021,Nîmes,AM,0.005911973243536519,0.0004232139,0.3987472397385037,265.0,274.0,220.0,253.0
269,Marcus Coco,2021-2022,Nantes,RW,0.02435754507239233,0.0021967492,0.20438292111281894,235.0,260.0,273.0,256.0
270,Papa Ndiaga Yade,2021-2022,Metz,LW,0.0033056185336636486,0.0058835032,0.2755144699970091,270.0,239.0,261.0,256.6666666666667
271,Haris Duljević,2020-2021,Nîmes,LW,0.0020872786822437174,0.002881037,0.3353232884932581,272.0,257.0,248.0,259.0
272,Farid Boulaya,2021-2022,Metz,AM,0.0030506111247134266,0.0021996787,0.3319435899578208,271.0,259.0,249.0,259.6666666666667
273,Sofiane Diop,2018-2019,Monaco,LW,0.0118379792729176,0.0031005135,0.20291581924107244,254.0,253.0,274.0,260.3333333333333
274,Gilles Sunu,2017-2018,Angers,RW,0.004346917797374714,0.0011530233,0.2520997752007717,269.0,271.0,265.0,268.3333333333333
